Date,Close,High,Low,Volume
2023-02-17,1.5999674797058103,1.6176467674515354,1.5911278885210676,5678900
2023-02-20,1.591127872467041,1.608807160034387,1.5822882813714871,7214500
2023-02-21,1.5469298362731934,1.5911277894447915,1.529250655004554,8405400
2023-02-22,1.4938923120498655,1.53809026580083,1.485052615923439,22135300
2023-02-23,1.4850527048110962,1.511571584025193,1.4585339309732397,11225200
2023-02-24,1.4673734903335571,1.511571551144809,1.4320151259855458,12859600
2023-02-27,1.4585341215133667,1.476213306381513,1.4496945290792935,20182200
2023-02-28,1.5027321577072144,1.5027321577072144,1.4585340910827365,11562900
2023-03-01,1.4585341215133667,1.4938925966259131,1.4320153442111474,13272100
2023-03-02,1.4638570547103882,1.4816007599203234,1.4372414968954852,6545200
2023-03-03,1.472728967666626,1.4904726736036844,1.4461134087610386,7129900
2023-03-06,1.481600999832153,1.5170885217592522,1.4638572917490251,4265300
2023-03-07,1.508216142654419,1.517087993607379,1.4816004840347343,5345300
2023-03-08,1.4993444681167605,1.5082163201135963,1.4638569543685975,6899600
2023-03-09,1.472728967666626,1.5082164853015725,1.4638571146980968,3162200
2023-03-10,1.508216142654419,1.517087993607379,1.463856782128815,4630600
2023-03-13,1.472728967666626,1.5082164853015725,1.472728967666626,5665100
2023-03-14,1.472728967666626,1.4904726736036844,1.4372415557925091,6281300
2023-03-15,1.4993444681167605,1.5082163201135963,1.4727288063654336,3429600
2023-03-16,1.4638570547103882,1.4993445708910842,1.4549852021054206,2888000
2023-03-17,1.4638570547103882,1.490472612525291,1.4549852021054206,7030300
2023-03-20,1.4194977283477783,1.463856989393313,1.4194977283477783,4971600
2023-03-21,1.428369641304016,1.446113346476852,1.3928822309583442,6617500
2023-03-22,1.45498526096344,1.4638571139272976,1.428369702071867,2926800
2023-03-23,1.4638570547103882,1.4727289073153558,1.446113349500453,3470300
2023-03-24,1.472728967666626,1.472728967666626,1.4549852617295678,4797400
2023-03-27,1.4638570547103882,1.4816007599203234,1.4549852021054206,4527200
2023-03-28,1.4638570547103882,1.4638570547103882,1.446113349500453,5341600
2023-03-29,1.4638570547103882,1.4638570547103882,1.4372414968954852,4462000
2023-03-30,1.357394814491272,1.4638571591039695,1.3485229612536167,20950500
2023-03-31,1.375138521194458,1.4283697463900444,1.3485229614770813,16846500
2023-04-03,1.4638570547103882,1.4816007599203234,1.3928822338706472,15483000
2023-04-04,1.45498526096344,1.4638571139272976,1.4372415550357247,16281900
